video_id,duration,commentCount,dislikeCount,favoriteCount,likeCount,viewCount,timestamp
<<<<<<< HEAD
2kyS6SvSYSE,678,21875,8369,0,102869,2940489,2019-04-06 11:51:46.499557
1ZAPwfrtAFY,1431,24385,15577,0,203636,13982860,2019-04-06 11:51:47.701530
5qpjK5DgCt4,569,14888,11378,0,312883,16884259,2019-04-06 11:51:48.826272
puqaWrEC7tY,430,3610,1643,0,20763,1308124,2019-04-06 11:51:50.173039
d380meD0W0M,733,25691,2919,0,183242,4434960,2019-04-06 11:51:51.469577
gHZ1Qz0KiKM,833,3848,3390,0,33885,1989526,2019-04-06 11:51:52.610836
39idVpFF7NQ,282,3098,3549,0,24790,4054236,2019-04-06 11:51:53.923073
nc99ccSXST0,608,3470,1468,0,38916,2167402,2019-04-06 11:51:55.520506
jr9QtXwC9vc,149,4965,2747,0,94748,18427070,2019-04-06 11:51:57.098152
TUmyygCMMGA,543,4744,3408,0,34236,1449382,2019-04-06 11:51:58.223800
9wRQljFNDW8,76,186,43,0,865,114284,2019-04-06 11:51:59.522002
VifQlJit6A0,109,2354,639,0,2833,303806,2019-04-06 11:52:01.051809
5E4ZBSInqUU,207,41373,25180,0,1078152,89887576,2019-04-06 11:52:02.241798
GgVmn66oK_A,269,7015,2936,0,21789,1917563,2019-04-06 11:52:03.833565
TaTleo4cOs8,743,2677,631,0,14312,983577,2019-04-06 11:52:05.371415
kgaO45SyaO4,25,19209,5803,0,114543,12749055,2019-04-06 11:52:06.787554
ZAQs-ctOqXQ,139,1262,791,0,10363,404903,2019-04-06 11:52:07.974775
YVfyYrEmzgM,274,895,204,0,17686,839801,2019-04-06 11:52:09.194412
eNSN6qet1kE,823,8022,823,0,73592,2319813,2019-04-06 11:52:10.631541
B5HORANmzHw,318,1294,303,0,12347,412257,2019-04-06 11:52:11.789907
vU14JY3x81A,227,18440,560,0,42793,1719780,2019-04-06 11:52:12.992749
6VhU_T463sU,305,313,247,0,6387,573070,2019-04-06 11:52:14.351836
_-aDHxoblr4,267,1262,203,0,20731,461775,2019-04-06 11:52:15.571484
JBZTZZAcFTw,360,1450,1506,0,10737,1085393,2019-04-06 11:52:16.721772
lZ68j2J_GOM,156,785,430,0,36244,878647,2019-04-06 11:52:17.837011
dRpNZV18N_g,509,2098,439,0,17406,1098793,2019-04-06 11:52:19.102372
fcVjitaM3LY,520,694,160,0,9499,396235,2019-04-06 11:52:20.212739
qeWvgZLz9yU,352,2225,682,0,23092,679962,2019-04-06 11:52:21.420601
iIxy3JN3-jc,279,123,128,0,284,89647,2019-04-06 11:52:22.641260
n30k5CwLhS4,0,0,0,0,0,0,2019-04-06 11:52:23.766027
U0hAC8O7RoI,512,11586,25363,0,123066,8368965,2019-04-06 11:52:25.250020
CBVGjS_EJok,0,0,0,0,0,0,2019-04-06 11:52:26.437296
n1WpP7iowLc,305,139613,75273,0,1182246,60453021,2019-04-06 11:52:27.674672
hz7ukDjuq4w,399,978,324,0,10042,487219,2019-04-06 11:52:28.804714
p2hJxyF7mok,73,809,582,0,7867,1870137,2019-04-06 11:52:29.975326
0mlNzVSJrT0,47,603,216,0,3009,161051,2019-04-06 11:52:31.104854
Om_zGhJLZ5U,601,1922,969,0,9465,432586,2019-04-06 11:52:32.355522
e_7zHm7GsYc,223,229,333,0,17187,991414,2019-04-06 11:52:33.653078
dQvIbulWCM4,295,4988,2439,0,62842,1739548,2019-04-06 11:52:34.843147
zZ9FciUx6gs,255,2185,1676,0,30640,1871529,2019-04-06 11:52:36.201428
PaJCFHXcWmM,292,1557,1169,0,25690,3254938,2019-04-06 11:52:37.856553
goP4Z5wyOlM,31,437,30,0,332,44446,2019-04-06 11:52:39.465554
NZFhMSgbKKM,32,55,76,0,96,24332,2019-04-06 11:52:41.028547
0tO_l_Ed5Rs,257,9253,21795,0,22777,593793,2019-04-06 11:52:42.168902
