video_id,title_negative,title_neutral,title_positive,title_rate,tags_negative,tags_neutral,tags_positive,tags_rate
-0CMnp02rNY,0.0,73.0,27.0,Positive,0.0,91.7,8.3,Positive
-0NYY8cqdiQ,20.1,79.9,0.0,Negative,3.5999999999999996,72.3,24.099999999999998,Positive
-1Hm41N0dUs,35.8,64.2,0.0,Negative,20.4,52.2,27.400000000000002,Positive
-1yT-K3c6YI,0.0,75.5,24.5,Positive,17.9,67.9,14.2,Positive
-2RVw2_QyxQ,0.0,46.9,53.1,Positive,0.0,100.0,0.0,Neutral
-2aVkGcI7ZA,0.0,44.1,55.900000000000006,Positive,24.8,66.0,9.2,Negative
-2b4qSoMnKE,0.0,80.10000000000001,19.900000000000002,Positive,0.0,100.0,0.0,Neutral
-2wRFv-mScQ,0.0,81.6,18.4,Positive,0.0,75.0,25.0,Positive
-35jibKqbEo,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
-37nIo_tLnk,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
-39ysKKpE7I,0.0,93.2,6.800000000000001,Neutral,0.0,100.0,0.0,Neutral
-3h4Xt9No9o,0.0,100.0,0.0,Neutral,0.0,96.6,3.4000000000000004,Positive
-3nEHRN6IPg,27.800000000000004,72.2,0.0,Negative,0.0,100.0,0.0,Neutral
-4s2MeUgduo,32.2,67.80000000000001,0.0,Negative,0.0,85.2,14.799999999999999,Positive
-5aaJJQFvOg,0.0,100.0,0.0,Neutral,0.0,56.00000000000001,44.0,Positive
-66xHRJSPxs,0.0,100.0,0.0,Neutral,0.0,76.7,23.3,Positive
-7AZX5Xtiks,0.0,52.6,47.4,Positive,0.0,61.199999999999996,38.800000000000004,Positive
-7UzyXO-mzk,0.0,100.0,0.0,Neutral,2.7,48.8,48.4,Positive
-7_ATlZ-zMc,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
-8ZHXaGILlc,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
-9OfAHgdV8Y,0.0,100.0,0.0,Neutral,5.0,79.80000000000001,15.1,Positive
-9rdDeWzvsU,35.9,64.1,0.0,Negative,14.899999999999999,85.1,0.0,Negative
-AY-HC4sUGU,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
-BDImdAfodA,0.0,100.0,0.0,Neutral,0.0,84.6,15.4,Positive
-BQJo3vK8O8,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
-C5q3oir8gA,0.0,100.0,0.0,Neutral,4.1000000000000005,78.10000000000001,17.8,Positive
-CS84oCtjvc,0.0,100.0,0.0,Neutral,14.299999999999999,85.7,0.0,Negative
-C_rvt0SwLE,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
-EL8TuMsb-k,0.0,44.4,55.60000000000001,Positive,2.1,69.39999999999999,28.4,Positive
-El8z4uy5Ac,27.400000000000002,47.599999999999994,25.0,Negative,26.5,51.800000000000004,21.7,Negative
-HoAafTYR9w,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
-HrakxB4Klo,0.0,100.0,0.0,Neutral,0.0,83.8,16.2,Positive
-IqpbDJFbZA,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
-JVITToppE0,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
-KB5QbOS4s4,0.0,100.0,0.0,Neutral,4.0,57.699999999999996,38.3,Positive
-L4RYm9Tq7I,0.0,100.0,0.0,Neutral,0.0,83.7,16.3,Positive
-NEhvlJA5q8,0.0,87.0,13.0,Positive,3.9,93.5,2.6,Negative
-NIP2zgVsRY,0.0,100.0,0.0,Neutral,0.0,69.19999999999999,30.8,Positive
-NcG4L0pwvE,0.0,81.10000000000001,18.9,Positive,0.0,61.1,38.9,Positive
-OK9i1_YYYc,0.0,63.5,36.5,Positive,0.0,68.5,31.5,Positive
-Q5pHm2Cfq4,0.0,82.69999999999999,17.299999999999997,Positive,0.0,90.3,9.700000000000001,Positive
-QPdRfqTnt4,40.0,60.0,0.0,Negative,0.0,75.0,25.0,Positive
-QR-TB_k20M,0.0,100.0,0.0,Neutral,6.0,80.9,13.100000000000001,Positive
-Qv6p6pTz5I,23.799999999999997,76.2,0.0,Negative,9.4,90.60000000000001,0.0,Negative
-QxZv_wJ1aA,26.3,73.7,0.0,Negative,13.0,63.5,23.5,Positive
-R9F2_D76TE,0.0,100.0,0.0,Neutral,0.0,87.5,12.5,Positive
-RUbNqpwOt8,0.0,100.0,0.0,Neutral,0.0,91.3,8.7,Positive
-RmUADCWI4A,25.2,38.800000000000004,35.9,Positive,5.800000000000001,61.6,32.6,Positive
-SIp6xSP7ds,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
-SJywvgaJEI,0.0,80.0,20.0,Positive,0.0,55.60000000000001,44.4,Positive
-TQpVg4vcrk,0.0,87.4,12.6,Positive,0.0,80.30000000000001,19.7,Positive
-V1Oo7srGf0,42.5,57.49999999999999,0.0,Negative,39.300000000000004,53.5,7.199999999999999,Negative
-VgOGzBcMIg,0.0,100.0,0.0,Neutral,0.0,72.8,27.200000000000003,Positive
-W6v2_0evUU,0.0,100.0,0.0,Neutral,53.300000000000004,46.7,0.0,Negative
-WRcZ9xHMuE,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
-WedqN1iYbM,0.0,84.2,15.8,Positive,0.0,67.10000000000001,32.9,Positive
-YRlVB6Qgug,0.0,100.0,0.0,Neutral,0.0,81.3,18.7,Positive
-_jlqATo9eo,42.3,57.699999999999996,0.0,Negative,8.1,72.8,19.1,Positive
-a12nTEcoqE,0.0,100.0,0.0,Neutral,6.7,85.9,7.3999999999999995,Positive
-cQoGwpDBPs,0.0,50.6,49.4,Positive,7.000000000000001,58.099999999999994,34.9,Positive
