video_id,views,likes,comment_count
0bSE-rh7jFg,5,5,5
0bXCbVGb04A,4,4,4
0bXJGZgR1BU,3,3,3
0cZLo3AAan4,1,1,1
0dSR-9mtuzk,6,6,6
0devsSCkYRY,1,1,1
0doVNhCyoA4,4,4,4
0eOtSEkLVtw,7,7,7
0eUk_VN3e2A,7,7,7
0f7CuSU_huU,2,2,2
0fepqIO57f8,6,6,6
0gDVWPPgMKY,8,8,8
0gW9EnfWzDw,7,7,7
0gwkMY-mzUQ,7,7,7
0jmDHoPUGKI,3,3,3
0l35jAGQPOI,22,22,22
0lXX3dJUAGY,5,5,5
0lbJHqAGpbA,1,1,1
0lr497GhD04,8,8,8
0mAS2Gxs08w,1,1,1
0mlNzVSJrT0,4,4,4
0nVO-yU0oxM,7,7,7
0noUI5HLY4I,7,7,7
0nybdPCuvRI,5,5,5
0oBodJHX1Vg,5,5,5
0q9Cm11d-fE,1,1,1
0qpE8IHz3go,7,7,7
0r-zYs6NQu8,7,7,7
0s6-iFoCFNQ,8,8,8
0tO_l_Ed5Rs,4,4,4
0ufNmUyf2co,6,6,6
0umuSm2WA9g,8,8,8
0v-6AylRH68,6,6,6
0vKkwJwL77Y,7,7,7
0vXLU9BnDPc,11,11,11
0vhxoVwqZkk,7,7,7
0xCggNCs2kU,7,7,7
0ycLaWymtKk,7,7,7
0zMSMJZc9EA,15,15,15
0zZ0Y_UZRBw,27,27,27
0zk2SwmCpss,1,1,1
1-BhcMdxfjI,5,5,5
1-jXHDiRnC0,5,5,5
10fjaHpOeWo,4,4,4
10ndJuFP1PY,12,12,12
12m1rG0Tj7U,3,3,3
133w0dT64A0,4,4,4
13hdKXfku4M,6,6,6
13xFL17XmYU,13,13,13
15UK0924t_o,5,5,5
15aTCG3as6Q,6,6,6
15nf2EBBNu0,6,6,6
15uSD6tHi2I,5,5,5
1640fZpYBSY,1,1,1
16W7c0mb-rE,8,8,8
16a1LttU5qc,7,7,7
17x4Auq4Tw4,8,8,8
18QHSoWPygQ,12,12,12
19QxOZU0zkQ,7,7,7
1A_aWbz6D5A,6,6,6
1A_feeLPImg,2,2,2
1Aoc-cd9eYs,7,7,7
1Apnffv9Yko,2,2,2
1C9STKF0Lv4,1,1,1
1CYch47uOZU,6,6,6
1DQ9UTz5j8o,10,10,10
1DRhHMy-D4E,7,7,7
1FJD7jZqZEk,18,18,18
1HBvOZlvj_w,3,3,3
1HJkmKODN4Y,1,1,1
1HLMi1s6Tho,8,8,8
1I0cUTXwr-k,4,4,4
1J76wN0TPI4,14,14,14
1JNxKJnPDAs,4,4,4
1JXq9779zwU,6,6,6
1KG8Qha7uXw,7,7,7
1L_fPteZOYQ,4,4,4
1M5r_B1_WZ8,1,1,1
1MGNw-Y2QPk,12,12,12
1Nu_oGucpDI,15,15,15
1PhPYr_9zRY,25,25,25
1PhdQdJjDZc,4,4,4
1QR-GsZkE3E,1,1,1
1QmPCVW6jOs,5,5,5
1R0Xgq1bxZI,7,7,7
1RZYOeQeIXE,3,3,3
1Sh6UqeRHdM,8,8,8
1SnWTW6YXbE,11,11,11
1U1u5aKU3AY,4,4,4
1UPJ_Uk9s5c,4,4,4
1UpvW5LiE2k,4,4,4
1VJixjI_P3s,7,7,7
1WDj0DddCcM,3,3,3
1WREZPc-kqQ,8,8,8
1WRUGR-glbQ,3,3,3
1Wk8ZRgXQnY,2,2,2
1XY8dPnIORc,14,14,14
1Xgm5R4eMao,20,20,20
1ZAPwfrtAFY,7,7,7
1ZXWwIjQnHs,12,12,12
1Znl8OUBa_o,6,6,6
1ZqFDsq09H8,3,3,3
1bSDtlARvPI,5,5,5
1cgK-BIrXes,3,3,3
1csFTDXXULY,12,12,12
1dQEfL2BfUM,7,7,7
1e5vRpODASk,2,2,2
1eKa8ju_b2A,2,2,2
1emNguW5xAA,2,2,2
1h7KV2sjUWY,25,25,25
1huD-o3abV8,2,2,2
1iGBHh1q0Kg,1,1,1
1iUgR_lKn1c,2,2,2
1j_k5WCFShQ,6,6,6
1kEoS9WwpmA,8,8,8
1l26UFQ06eQ,3,3,3
1lCnG9hWC6w,6,6,6
1lGHZ5NMHRY,7,7,7
1lPvUKtHBJA,6,6,6
1mYB8onrPt0,4,4,4
1mpdJcGj8Qg,4,4,4
1n4rqMnxaig,1,1,1
1ndx3Hl-7ls,3,3,3
1oFQ76ctfS0,7,7,7
1purAy2MsOc,27,27,27
1qG_NwTT-2k,3,3,3
1qIj0m7-sHI,3,3,3
1qKBNKtzTWg,4,4,4
1sJHx2s4Pp4,5,5,5
1sqyuXCwcBA,12,12,12
1vc1cKeor5A,6,6,6
1w9tf3vSuVs,5,5,5
1x77e4XvqZ4,4,4,4
1yf8ZSjtXiI,1,1,1
1zO2JEV6He0,6,6,6
2--Pg-y3xNk,6,6,6
2-tzlBFotjA,11,11,11
20DPgRoyQn0,9,9,9
20bpjtCbCz0,18,18,18
22iCU_bsApA,4,4,4
23ILq4uxd-w,3,3,3
23QOy9Q2qNI,4,4,4
24HFgBQawWA,10,10,10
25Uouf_9DUk,6,6,6
260mj1dmJhU,1,1,1
266EI7hdjFs,4,4,4
26qOMpjicGs,6,6,6
272qtYHyylk,5,5,5
27GV1PS8_Cw,5,5,5
2A4ZlxAk8dQ,3,3,3
2AAUadR6Hjw,10,10,10
2ATuTL5i0_c,14,14,14
2B1sY4NecnI,7,7,7
2B85lYenaxE,7,7,7
2BIx2x-Q2fE,7,7,7
2BwxeOzSx8A,7,7,7
2Cy2S6jbviQ,4,4,4
2DVg-P0mZE4,8,8,8
2E_HEeOpiEA,5,5,5
2GjJ85MImlo,14,14,14
2GrKY7Qqal8,1,1,1
2HboMs0vbsE,4,4,4
2J6bJnwr1rw,12,12,12
2KuqjW0WtZg,16,16,16
2Nlo2ekTRvI,6,6,6
2NpetP71B1o,6,6,6
2P6dG-csseU,1,1,1
2PH7dK6SLC8,28,28,28
2PQCLZbzxq8,7,7,7
2QHltvwTjSk,5,5,5
2QK6Usg2KT0,17,17,17
2QMjAiy_2t8,1,1,1
2RYxblMkQ04,1,1,1
2RsVpR_X5hE,4,4,4
2SJ0hgdciNE,7,7,7
2TCHVvJ73kM,9,9,9
2TfXp8KDvKw,2,2,2
2UPIKvHp_m8,4,4,4
2VP846QcA_4,2,2,2
2VggEmXPnGw,8,8,8
2Vm27xL57O0,3,3,3
2Vv-BfVoq4g,3,3,3
2WHcBwq2wHc,10,10,10
2X5fG1A4kuc,1,1,1
2X9eJF1nLiY,9,9,9
2XK4omx9uMU,3,3,3
2XLw9U7Z1CM,2,2,2
2XQPTtTv_O4,7,7,7
2XQft9iwSqg,12,12,12
2Xyf_PCf7lc,5,5,5
2Yb_VA4L3YU,5,5,5
2Yz_kqxegrs,1,1,1
2Z3yeFZyCjI,8,8,8
2_DRBnV4nGY,5,5,5
2_dkBgK4Mbk,1,1,1
2_fUmjfzh1Y,3,3,3
2a52cBN9qOA,6,6,6
2aQykuIaJVI,15,15,15
2aThW4BSdbQ,1,1,1
2afSbqlp5HU,12,12,12
2b5C6Xp3pwA,4,4,4
2c7UCvK0Ixc,6,6,6
2c9fXDI2EYE,3,3,3
2ckenWENyUg,5,5,5
2dkl0fUKHAM,5,5,5
2fGXDFiFBhg,6,6,6
2fJIRQJ39eA,5,5,5
2fZ-qIHlA5M,1,1,1
2fouYHWUhZo,11,11,11
2fxqFJsvus4,5,5,5
2gGRX1bvgS8,3,3,3
2h0bkuWzQeU,9,9,9
2iC9IGKIP50,1,1,1
2in8XqiElwc,25,25,25
2jP6MFBXFaA,6,6,6
2jSWMme12ik,13,13,13
2jhwGiO5XJ8,3,3,3
2ktuvx9hrMw,11,11,11
2kyS6SvSYSE,7,7,7
2lyQj9M2MhY,2,2,2
2mrOcJNPxEc,2,2,2
2nJ3U5dzvPs,6,6,6
2nSXgn68gPQ,5,5,5
2nVPFdqejD0,14,14,14
2nshBD9EbxE,4,4,4
2omJBSQcm5g,6,6,6
2pJlpCfueV0,3,3,3
2pVHOaT9CZ4,2,2,2
2qzrjzN5ns0,2,2,2
2r_nGjgqPE0,6,6,6
2rx8VHNG-DE,7,7,7
2sxuAm569IY,6,6,6
2tDKp41nrw8,2,2,2
2v34qDKvLqM,1,1,1
2v4-L4PkV9U,13,13,13
2vQ_fnlvvr8,1,1,1
2wJESCSvFU8,10,10,10
2wbc8x-RHiY,11,11,11
2yCp-Dj5-7c,6,6,6
2ybeU5JUoK4,18,18,18
2z3EUY1aXdY,4,4,4
2z870cifG_A,1,1,1
305ryPvU6A8,14,14,14
30HOemteiKQ,4,4,4
30TkClWvT5k,3,3,3
30UjfElERlc,5,5,5
31Fbv9qRV7s,6,6,6
32YGGYaUTgE,5,5,5
342Cqk9ew58,3,3,3
34By94AKkZE,1,1,1
34cHO5_LX9g,15,15,15
34gHoxqZlJc,7,7,7
34mNW4YSJhw,6,6,6
35m4leH72dA,3,3,3
36DAv_m8Mlw,9,9,9
36QMyiRAv-Y,5,5,5
36YFQTFzZwU,9,9,9
36tggrpRoTI,9,9,9
37R2_bvJjGM,14,14,14
37xIzAWyO8I,4,4,4
37z3bfXu3BA,5,5,5
38I1jsA91iQ,5,5,5
38dYSj3F-Lo,1,1,1
391JeKrI30w,1,1,1
39idVpFF7NQ,5,5,5
3A-3NaPA3QU,1,1,1
3AV1GuBI-0Q,3,3,3
3BHcVPSD4p0,7,7,7
3BJU2drrtCM,7,7,7
3BNg4fDJC8A,8,8,8
3ChgRbqGi-E,7,7,7
3D_ZODCSKXo,5,5,5
3Eu3N6KsWtY,3,3,3
3FnV82JEGPI,3,3,3
3GUYMZXyf9Y,1,1,1
3HXIkBeKQ14,5,5,5
3HhK7HbX3Qs,9,9,9
3ILxrRlf3KY,9,9,9
3IaL0li-LWU,5,5,5
3IdqPpwSE2g,5,5,5
3K0wXkf0QAY,2,2,2
3LJh6TReA5w,5,5,5
3LNeBf7bOTU,5,5,5
3L_a9HxXzS0,5,5,5
3MA_64gyaA0,7,7,7
3McYSX6jSIg,7,7,7
3Mg0SCxwvMo,5,5,5
3Q2j5ApzSqs,22,22,22
3RlbqOl_4NA,11,11,11
3S6HQGHqQa0,7,7,7
3Sa8G-VR13Q,1,1,1
3SlG3sE8Ytg,5,5,5
3SqtO2VXsPI,1,1,1
3ToRIUoXmIw,12,12,12
3TwiPa39WnM,2,2,2
3UoKswz6OQc,6,6,6
3VLNxH9uX6Y,6,6,6
3V_rqb6Nuc4,3,3,3
3WlhLmh7uiQ,18,18,18
3Xb3eOH4PMA,3,3,3
3XklsSF53pc,8,8,8
3YVzBkKAbAs,5,5,5
3Z6kYVQC83E,1,1,1
3Zew8pLSlwQ,5,5,5
3_keXD1yV3E,3,3,3
3b24Q8Bz7b4,9,9,9
3baKe4B3eyI,3,3,3
3bzlb22qTvE,1,1,1
3eQP6JoxtKk,9,9,9
3eY394uqk9Q,9,9,9
3ekEfYNQJ1s,4,4,4
3fArI2PZBUo,5,5,5
3frnBoqqI_Q,7,7,7
3g246c6Bv58,5,5,5
3g5O-kT9m8k,8,8,8
3gTyF-wLa-E,4,4,4
3gx7O2H_Kmg,2,2,2
3hn14sIQc6E,7,7,7
3iUfzN4RAB8,15,15,15
3j4ay18xokg,2,2,2
3j5eGupDWY4,6,6,6
3jcolXvi8IA,4,4,4
3jtjkXSvuJw,4,4,4
3k6RD9zVvpE,7,7,7
3kerBt7kuBU,5,5,5
3lgcBZdMZxM,13,13,13
3mB2fIt7vzw,5,5,5
3mRjN1Focog,11,11,11
3mUtNE82ZV4,1,1,1
3nwwX-DEH1M,14,14,14
3oHhw_9bQk0,2,2,2
3oXhLdeuxDw,9,9,9
3pCCjHDPq6U,11,11,11
3pTpz76vZfc,5,5,5
3rApMBPh15M,1,1,1
3rIjcRK_BNU,4,4,4
3rhw4KgcvFM,3,3,3
3shrder58iU,7,7,7
3tUCuMSPQwE,9,9,9
3tUSDKhcxcc,2,2,2
3tYpfAPVEs0,2,2,2
3tjHS7JRB4c,14,14,14
3uGIEY7tdg8,10,10,10
3x0usYgljOk,1,1,1
3y75zBl37f8,15,15,15
3yt4JsB9psg,4,4,4
3yy-dKTmyOo,9,9,9
4-flcAEK0QI,8,8,8
40JxGkIspck,7,7,7
40zKzYxwaF0,6,6,6
41PTANtZFW0,7,7,7
41QT769qVY0,4,4,4
41d9Bd7m8js,9,9,9
41kp6qN1Crg,3,3,3
425M4M3Opkk,15,15,15
42FRgdjveGU,9,9,9
42ZE4DCJkEo,13,13,13
43hsIO_Jxtg,1,1,1
44NYFvhXmW8,1,1,1
44W9qstI8H8,7,7,7
45dj8U3xSFU,5,5,5
45tSUnisIos,8,8,8
46KwY26PeOs,7,7,7
46TOhKEwtsE,1,1,1
48-pr5-G6Pw,5,5,5
48GpQJX3kYY,10,10,10
48SbgzxKW-E,1,1,1
48cc5nvsZ_c,5,5,5
48pP0WFjuOE,1,1,1
48qcnpCWBq0,7,7,7
49wGna0UTB8,12,12,12
4AtOU0dDXv8,2,2,2
4B7vs7tPRpQ,4,4,4
4BiWtH0HywY,4,4,4
4CGBSGEkbKA,4,4,4
4Cc-U8uhXYk,6,6,6
4DQUrg0Yhu4,3,3,3
4E0Fhct08QM,6,6,6
4EIvK9XsFRo,7,7,7
4Ek6UCI0YQs,3,3,3
4FEcHK-c2VE,3,3,3
4FgV0yBZG6E,2,2,2
4FkEYUPr2gg,9,9,9
4FkzLs7cLes,3,3,3
4GUxd-4TUTs,1,1,1
4GZBn4_SfQQ,11,11,11
4HSul1NBFes,1,1,1
4HU6Z7anycw,16,16,16
4HX6R88QZB0,22,22,22
4IG0freUoog,2,2,2
4IsdxwBMX1g,1,1,1
4JGWxG-vE24,8,8,8
4KyWP5fWOEs,7,7,7
4L-BPQVZYXM,7,7,7
4L43VVORo5c,5,5,5
4LlQwTgB5Rc,23,23,23
4MYaA4WEo1Y,7,7,7
4Mayo-iUQDk,6,6,6
4NOIj0Munk0,1,1,1
4Qs8herYTqY,10,10,10
4RYZEOZqWGk,1,1,1
4SANXNco_y4,2,2,2
4ShwEAGIu-I,1,1,1
4SvJgnhnUag,5,5,5
4Syrtc5aRBY,1,1,1
4Uhe7pNqCFo,5,5,5
4V3Y8Sbz9HI,3,3,3
4VDylTCCzOY,10,10,10
4WnizmrnJlk,5,5,5
4ZO-jde2smo,16,16,16
4ZuR8JK0N_I,3,3,3
4_aR3HqFrr0,22,22,22
4_eVvzrTV-I,8,8,8
4a1TUszkMfI,11,11,11
4ay4S61byZo,3,3,3
4bWmB3cscBs,3,3,3
4b_tL3mh-Gw,6,6,6
4cXsgT3ZcL8,7,7,7
4ccN0eRaO7Y,8,8,8
4csQhMHvQWk,8,8,8
4d07RXYLsJE,1,1,1
4dpjhcQr0RM,9,9,9
4eKYR_iL5eU,2,2,2
4ftGS_6i7mM,6,6,6
4gIR_q89g9Q,2,2,2
4h-XOckOwN8,5,5,5
4hrrK3rXrR0,9,9,9
4iN6uiOsCr0,6,6,6
4iRJDDjejCI,8,8,8
4ihuh6AKyY8,6,6,6
4iyOED0DPZw,2,2,2
4k9bXpi1tU4,17,17,17
4kDklB6-69Q,12,12,12
4lm75v4Ndlg,19,19,19
4nM94zdOh50,5,5,5
4nq0tT_SAD0,10,10,10
4nqJiBRNQuw,10,10,10
4oYYVrEFWE8,6,6,6
4oqvNR1o3Zo,21,21,21
4qSziR6sD8Q,1,1,1
4qakFfGRV4E,6,6,6
4qcLz8M7L7k,2,2,2
4sXyLTk0IAQ,6,6,6
4srOE3pCCo8,15,15,15
4tKdWdBf0M0,3,3,3
4tpIiSqyiLo,5,5,5
4uTNVumfm84,10,10,10
4ubwGb-vLA0,7,7,7
4uvDgYKLgcU,5,5,5
4v0nOAzcG2A,3,3,3
4vZJn6r0dRw,5,5,5
4vl8-5udtII,14,14,14
4wIBCoxuOJ0,6,6,6
4yG_k2Zlw7Y,5,5,5
4ykXguKWqy4,7,7,7
4zkWYYFvV6M,11,11,11
5-l84AgchWA,5,5,5
510KQ_LXGww,1,1,1
515lLZS082U,7,7,7
51cbHTKdILA,6,6,6
51tc6o12uqA,1,1,1
52L2HML5O1k,6,6,6
52Y7NwbmOHY,7,7,7
52pwYD_rxmE,12,12,12
532MxrRNJcM,14,14,14
54BVvP7zvDQ,14,14,14
54z8jWNM0bE,2,2,2
5530I_pYjbo,8,8,8
56KYMMGudcU,7,7,7
56XbwQ59GbA,5,5,5
57nZ7LaVAH0,3,3,3
592KTCoUuUg,13,13,13
5AGyFelwyk4,3,3,3
5Ad2pIlg3Dk,5,5,5
5BD1Yjc3du8,4,4,4
5DsBQiYNwuk,14,14,14
5E4ZBSInqUU,7,7,7
5EF5Curjr8k,11,11,11
5ELQ6u_5YYM,3,3,3
5GHXEGz3PJg,22,22,22
5GRyr0noXrw,7,7,7
5HOijUtExiM,1,1,1
5HUCAF6898w,1,1,1
5IyiD8xv_Pk,4,4,4
5JEI0sjJs8c,6,6,6
5JYqTSSH6IA,2,2,2
5Js4TMKutCo,7,7,7
5Kk5QxB9lWk,6,6,6
5LoBGoQPUNc,13,13,13
5MJpurZ9ShI,4,4,4
5MtBgDVPtx0,3,3,3
5NHxDBPxPGI,7,7,7
5NaAwSpswJE,6,6,6
5PB2YzNddI8,3,3,3
5PR3Hn6cQ60,25,25,25
5Q7mKQmNWSE,7,7,7
5RjEaUqucbw,1,1,1
5SNX4JuM39c,6,6,6
5SkwvwSydmk,1,1,1
5Smb3tZD1Qc,1,1,1
5SuDuzAtUwA,5,5,5
5TLANg1GC7U,7,7,7
5TXSR9Jel24,6,6,6
5TY79E-a2xU,4,4,4
5TbUxGZtwGI,9,9,9
5UL5wZJPLEg,2,2,2
5VGxDEh3F0g,13,13,13
5WUDfviiKRE,5,5,5
5XUwdZkM6N8,9,9,9
5YMtjjAzxWA,2,2,2
5YOvZU1QRRQ,6,6,6
5YgluF8VTWg,5,5,5
5_-NKRVn7IQ,13,13,13
5_O5bT3hfkQ,5,5,5
5bJ_gb19pKQ,14,14,14
5beh5ztM0K8,2,2,2
5cKQHtO6wyk,3,3,3
5czA_L_eOp4,7,7,7
5ek2W8hUvGw,6,6,6
5fZiMNo5-uo,13,13,13
5g20u8EfMdg,7,7,7
5g2UZr5RGgg,15,15,15
5gFpcEKayz4,2,2,2
5gZWna6RnCA,1,1,1
5hEJsoDP2q4,2,2,2
5hpuoMilm_4,11,11,11
5iVxBDPlbc4,4,4,4
5jT8Qef5Hf8,4,4,4
5jmaUAvUou4,11,11,11
5km8U9K-WLw,3,3,3
5llHhbYjBwY,1,1,1
5m9rqSaQIWg,4,4,4
5mar5AHglGI,13,13,13
5n32F7mS6Kk,7,7,7
5n9xafjynJA,5,5,5
5orrZxSjLQA,5,5,5
5q4Z7HqxFM0,8,8,8
5qjU_wPyv4E,5,5,5
5qpjK5DgCt4,7,7,7
5qvAXkzAcKw,3,3,3
5qx2WFpNTPs,3,3,3
5qxqo2CQakA,8,8,8
5sEaYB4rLFQ,2,2,2
5tCyAEMaE-I,1,1,1
5tPugvYE6wM,14,14,14
5vQcI9phkyk,1,1,1
5wKYV-9Tq1o,6,6,6
5wVnr3cahQg,5,5,5
5x-d3pabd5o,6,6,6
5x1FAiIq_pQ,1,1,1
5xrks9k3feQ,6,6,6
5xvOk7fo-K8,6,6,6
5y-tCo_v7pk,6,6,6
5y0ARoVF6Qg,7,7,7
5y0owYFTMno,9,9,9
6-Bf9yUay50,12,12,12
6-xB3ij-5xM,6,6,6
60nDlMw5vFQ,2,2,2
61hO5yTnAaE,4,4,4
62GUa_XUosE,3,3,3
6340tX9M_eM,4,4,4
64IIfxDrhJY,1,1,1
65MWN5yKU0A,11,11,11
66kn6Dcr12E,6,6,6
67LnlgA_Too,1,1,1
682vsLy3TtE,4,4,4
6A3cHzFQsqI,5,5,5
6CPUUjAlXrs,9,9,9
6Detw08jRhs,2,2,2
6DuLfoU3apA,4,4,4
6EF4zRMfrlk,6,6,6
6EHbZKLkeMg,5,5,5
6EmFN1nRQ6M,4,4,4
6FbdqwlR0H4,7,7,7
6GT7PrIIS5I,8,8,8
6HOO1d3ltA8,3,3,3
6J-D86wfxiE,9,9,9
6JvRVILczps,2,2,2
6Km34EXxGZ4,12,12,12
6LuHS7ZeSjE,7,7,7
6NAISxSPVSQ,1,1,1
6Nr_xHolP1Q,5,5,5
6OSySP61QuA,1,1,1
6OcOO1k-vGE,8,8,8
6P6Ia5Qj9W0,4,4,4
6PXz2gNNR9o,3,3,3
6Q0AazVu1Tc,8,8,8
6Rl7fQQRmtg,12,12,12
6S9c5nnDd_s,28,28,28
6SevTnFTdpA,5,5,5
6SjslBAJkJI,7,7,7
6SuMbFuKDf8,27,27,27
6TOSV3-7hzU,6,6,6
6ULZDwevR0M,1,1,1
6UPeSHu1u_w,5,5,5
6VJYkH1WfKc,1,1,1
6V_aZsATDsM,1,1,1
6VhU_T463sU,5,5,5
6VoJHrdoIJw,6,6,6
6VrqR_GfvzE,7,7,7
6XxA-4Jp7AU,1,1,1
6Y65fxIRs8Q,7,7,7
6ZJghIk7_VA,7,7,7
6ZfuNTqbHE8,9,9,9
6ZkZ7pSD2mw,1,1,1
6ZwXRnueOMg,3,3,3
6_-b3U9QDKg,5,5,5
6_DgXvcfhYg,10,10,10
6bJRu0_p-Ig,6,6,6
6d6SmcYcP_U,6,6,6
6dGqZmvDElA,5,5,5
6dlhWPDoifU,8,8,8
6e_MMVmmFfA,4,4,4
6fi1RZNWCDI,2,2,2
6fyE0B430Rc,16,16,16
6gFj1XJ6b5o,3,3,3
6h8QgZF5Qu4,1,1,1
6hIFDfP9rNc,8,8,8
6hTzM1BPdU8,1,1,1
6hb0GOOFQwI,10,10,10
6i2cebTn0nc,3,3,3
6ijnv-jNhUA,8,8,8
6ixU_vdE0Es,1,1,1
6j-s9E3dRQ0,4,4,4
6jxRnodaKzE,9,9,9
6k1TQ59Yj5s,2,2,2
6kLYXbNZWRs,5,5,5
6kyXZGyso8M,5,5,5
6lI67K54qgQ,1,1,1
6mDsa-AqNcQ,6,6,6
6mkLWGy6Y3k,7,7,7
6nJw-jPQYVI,2,2,2
6oIWl1jLE20,6,6,6
6sHIq41sI-w,13,13,13
6tAB3YwWkxY,13,13,13
